UID,교회명,국가/지역,주소,담임,전도인수,사진URL
436,"천안동부교회","대한민국","충청남도 천안시 동남구 목천안터1길  26 천안동부교회","강대철 담임목사",1,"https://file1.jbch.org/guide/436/436_2024092914004181551_sky1224sea.jpg"
280,"철원교회","대한민국","강원도 철원군 갈말읍 명성로 139번길 41","조성만 담임목사",1,""
283,"청도교회","대한민국","경북 청도군 청도읍 모강길 123","한철인 담임목사",1,"https://file1.jbch.org/guide/283/283_2023071211252953726_chungyil.jpg"
457,"청송교회","대한민국","764-816 경북 청송군 진보면 청송로 6351(진안리 649-2)","김한진 담임목사",1,"https://file1.jbch.org/guide/457/457_2024031617025418206_hj9267.jpg"
986,"청양교회","대한민국","충청남도 청양군 청양읍 중앙로 136 탑프라자 4층","박정호 담임목사",1,"https://file1.jbch.org/guide/986/986_2023051814175645452_stronglee.jpg"
60,"청주교회","대한민국","충북 청주시 청원구 공항로220번길 43 (주중동 571)","장성훈 담임목사",6,""
588,"청주남부교회","대한민국","충북 청주시 서원구 장성동 1-10","우병수 담임목사",1,"https://file1.jbch.org/guide/588/588_2018020113164610114_leejunga.jpg"
208,"청주오송교회","대한민국","충청북도 청주시 흥덕구 오송읍 정중연제로 4-2","신남식 담임목사",1,""
73,"춘천교회","대한민국","(우)24407 강원도 춘천시 동내면 장안길 69-25","이광열 담임목사",4,"https://file1.jbch.org/guide/73/73_2017072310120677844_dmltk1199.jpg"
59,"충주교회","대한민국","충북 충주시 남산1길 28 ( 용산동 1769번지 )","최근성 담임목사",2,""
307,"태백교회","대한민국","강원도 태백시 상장로 71","김영만 담임목사",1,""
295,"태안교회","대한민국","충남 태안군 태안읍 군청6길 9태안교회(우) 32144","지명구 담임목사",1,""
205,"파주교회","대한민국","경기도 파주시 천정구로 163-45(교하동 423-18)","서상진 담임목사",2,"https://file1.jbch.org/guide/205/205_2021120810374067696_gnt91.jpg"
508,"파주북부교회","대한민국","경기도 파주시 문산읍 화석정로 12","김상호 담임목사",1,""
545,"평창교회","대한민국","강원도 평창군 평창읍 송학로 52","전종환 담임목사",1,""
85,"평택교회","대한민국","경기도 평택시 모산영신1길 56","노진구 담임목사",6,""
507,"평택동부교회","대한민국","456-825 경기도 안성시 공도읍 원승두길 16 소망빌딩(승두리 598-59번지)","문경호 담임목사",1,"https://file1.jbch.org/guide/507/507_2021011209390583637_chj4795.jpg"
695,"평택서부교회","대한민국","경기도 평택시 안중읍 안현로 356 (2층~4층)","차운철 담임목사",1,"https://file1.jbch.org/guide/695/695_2025122116010628733_iigiioiidii.jpg"
80,"포천교회","대한민국","경기도 포천시 신북면 아트밸리로 31-1","김춘현 담임목사",1,"https://file1.jbch.org/guide/80/80_2020080411410226300_dlzh0707.jpg"
48,"포항교회","대한민국","경상북도 포항시 북구 법원로25번길 37 (장성동)","장기현 담임목사",4,""
454,"포항남부교회","대한민국","경북 포항시 남구 오천읍 문덕로 53번길 20-4(문덕리 376-2번지)","김주호 담임목사",1,"https://file1.jbch.org/guide/454/454_2020072618343665305_thekim133.jpeg"
39,"하동교회","대한민국","667-831 경남 하동군 적량면 공설운동장로 183-11","김창규 담임목사",1,""
28,"함평교회","대한민국","전라남도 함평군 함평읍 들샘길 19","유태홍 담임목사",1,"https://file1.jbch.org/guide/28/28_2018052419274936126_oodejang.jpg"
546,"합천교회","대한민국","경상남도 합천군 합천읍 핫들5로 16","박천 담임목사",1,"https://file1.jbch.org/guide/546/546_2026013010090970918_tian1002.png"
24,"해남교회","대한민국","전라남도 해남군 해남읍 용머리길 56","소자섭 담임목사",1,""
55,"해운대교회","대한민국","부산광역시 해운대구 삼어로91번길 42","조달호 담임목사",1,""
149,"홍성교회","대한민국","충청남도 홍성군 홍북읍 홍북로 355-70 (대동리381-3번지)","박성순 담임목사",1,"https://file1.jbch.org/guide/149/149_2019110510582233892_lch0691.jpg"
269,"홍천교회","대한민국","강원도 홍천군 홍천읍 석화로 3길 33","김봉옥 담임목사",1,"https://file1.jbch.org/guide/269/269_2024011519092062360_kj9182.jpg"
247,"화성교회","대한민국","경기도 화성시 향남읍 발안로 107 (태성프라자 7층)","김용선 담임목사",2,"https://file1.jbch.org/guide/247/247_2017050409302175916_signbank.jpg"
679,"화성남양교회","대한민국","경기도 화성시 남양읍 화성로 1063  2층","김상길 담임목사",1,""
